,Symbol,Price,24h Δ,24h %Δ
0,BTC,46207.36,653.3000000000029,1.4341202518502258
1,ETH,3449.53,147.62000000000035,4.470745719901522
2,XRP,0.8286,0.0018000000000000238,0.2177068214804093
3,USDT,1.0,0.0,0.0
4,LUNA,106.26,2.190000000000012,2.1043528394350073
5,BNB,448.43,19.370000000000005,4.5145201137370075
6,SOL,135.44,11.030000000000001,8.86584679688128
7,AVAX,97.16,0.4099999999999966,0.4237726098191179
8,ADA,1.162,0.014999999999999902,1.3077593722754928
9,DOT,22.2,0.620000000000001,2.873030583873962
10,AXS,71.24,7.489999999999995,11.74901960784313
11,DOGE,0.1409,0.0020000000000000018,1.439884809215264
12,BUSD,1.0,0.0,0.0
13,LINK,17.27,0.21000000000000085,1.2309495896834752
14,MATIC,1.696,0.06299999999999994,3.8579301898346565
15,UST,1.001,0.0009999999999998899,0.09999999999998899
16,FTT,50.39,1.4399999999999977,2.9417773237997906
17,SHIB,2.602e-05,-7.999999999999923e-08,-0.30651340996168286
18,CRO,0.4805,0.017600000000000005,3.802117087923959
19,BIT,,,
20,KLAY,1.1769014592,0.013906307400000095,1.1957321901537523
21,WBTC,46189.2067,688.886900000005,1.514026501413744
22,APE,12.7,-0.21000000000000085,-1.6266460108443133
23,XLM,0.2327,0.002899999999999986,1.2619669277632664
24,UNI,11.59,0.1999999999999993,1.7559262510974478
25,SAND,3.623,0.18700000000000028,5.442374854481964
26,ICP,21.5,0.5199999999999996,2.4785510009532867
27,STETH,,,
28,GALA,0.2652,0.008900000000000019,3.472493172063995
29,NEAR,14.44,0.9900000000000002,7.360594795539035
30,DAI,1.0,9.999999999998899e-05,0.0100010001000089
31,LTC,125.01,0.5,0.4015741707493374
32,ATOM,29.37,0.23000000000000043,0.7892930679478395
33,TRX,0.07428,-0.0007100000000000023,-0.9467929057207659
34,BCH,377.79,-9.120000000000005,-2.357137318756301
35,VET,0.0811,0.0022000000000000075,2.7883396704689574
36,ALGO,0.9397,-0.006000000000000005,-0.6344506714602945
37,DYDX,6.522,0.37400000000000055,6.083279115159411
38,ETC,46.76,-0.5500000000000043,-1.1625449165081467
39,RUNE,12.15,0.6100000000000012,5.285961871750445
40,MANA,2.715,0.08499999999999996,3.2319391634980974
41,WAVES,52.04,-2.450000000000003,-4.496237841805841
42,OKB,21.370904,0.4297026180000003,2.051948262955682
43,LEO,6.02977844,0.2547378500000006,4.411014018517931
44,QNT,141.24,2.980000000000018,2.155359467669621
45,USDC,1.0,0.0,0.0
46,GRT,0.4852,0.008700000000000041,1.8258132214060945
47,IMX,2.479,0.07000000000000028,2.905770029057712
48,HBAR,0.246,0.005899999999999989,2.4573094543939975
49,CRV,2.805,0.1200000000000001,4.469273743016763
