,symbol,bid,change,change_percentage
0,EUR/USD,1.1039,-0.0024,-0.22%
1,GBP/USD,1.3112,-0.0019,-0.14%
2,USD/JPY,122.54,+0.88,+0.73%
3,USD/CHF,0.9254,+0.0030,+0.33%
4,AUD/USD,0.7499,+0.0020,+0.27%
5,USD/CAD,1.2517,+0.0020,+0.16%
6,NZD/USD,0.6924,-0.0008,-0.12%
7,USD/ZAR,14.6579,+0.0616,+0.42%
8,USD/TRY,14.6854,+0.0204,+0.14%
9,USD/MXN,19.8501,+0.0126,+0.06%
10,USD/PLN,4.1939,+0.0064,+0.15%
11,USD/SEK,9.3553,-0.0250,-0.27%
12,USD/SGD,1.3562,+0.0016,+0.12%
13,USD/DKK,6.7323,+0.0116,+0.17%
14,USD/NOK,8.7375,-0.0396,-0.45%
15,USD/ILS,3.2026,+0.0161,+0.50%
16,USD/HUF,332.51,+1.16,+0.35%
17,USD/CZK,22.02,+0.0165,+0.07%
18,USD/THB,33.49,+0.235,+0.71%
19,USD/AED,3.6726,+0.0004,+0.01%
20,USD/JOD,0.708,+0.0010,+0.14%
21,USD/KWD,0.304,+0.0005,+0.17%
22,USD/HKD,7.8334,+0.0014,+0.02%
23,USD/SAR,3.7468,-0.0004,-0.01%
24,USD/INR,75.919,+0.045,+0.06%
25,USD/KRW,1218.81,+5.24,+0.43%
26,BRL/USD,0.2146,+0.0037,+1.77%
27,CAD/USD,0.7987,-0.0010,-0.12%
28,CHF/USD,1.0801,-0.0031,-0.28%
29,FJD/USD,0.4741,+0.0050,+1.06%
30,GHS/USD,0.129,+0.0040,+3.10%
31,JPY/USD,0.816,-0.005550,-0.68%
32,KYD/USD,1.1976,+0.0073,+0.61%
33,SGD/USD,0.7369,-0.0006,-0.09%
34,USD/ALL,109.78,+0.610,+0.56%
35,USD/AMD,483.78,-0.13,-0.03%
36,USD/ANG,1.7845,+0.0177,+0.99%
37,USD/ARS,111.12,+0.1250,+0.11%
38,USD/AUD,1.3333,-0.0030,-0.22%
39,USD/BBD,1.9981,+0.0210,+1.05%
40,USD/BDT,86.11,+0.375,+0.43%
41,USD/BGN,1.7711,+0.0044,+0.25%
42,USD/BHD,0.377,0.0000,0.00%
43,USD/BIF,2003.55,+48.72,+2.43%
44,USD/BND,1.3562,+0.0016,+0.12%
45,USD/BOB,6.8,+0.0650,+0.95%
46,USD/BRL,4.6575,-0.0806,-1.70%
47,USD/BSD,0.9938,-0.0055,-0.54%
48,USD/BWP,11.4811,+0.0723,+0.63%
49,USD/BZD,1.9982,+0.0175,+0.88%
50,USD/CLP,782.47,-2.88,-0.37%
51,USD/CNY,6.3621,+0.0231,+0.36%
52,USD/COP,3743.87,-18.76,-0.50%
53,USD/CRC,662.07,+9.74,+1.49%
54,USD/CUP,0.9706,0.0000,0.00%
55,USD/DJF,177.5,+0.52,+0.30%
56,USD/DOP,54.92,+0.030,+0.05%
57,USD/DZD,142.477,+0.676,+0.47%
58,USD/EGP,18.23,+0.0500,+0.27%
59,USD/ETB,51.0091,+0.3918,+0.77%
60,USD/EUR,0.9056,+0.0024,+0.26%
61,USD/FJD,2.0725,+0.0201,+0.97%
62,USD/GBP,0.7624,+0.0014,+0.18%
63,USD/GEL,3.055,+0.0375,+1.24%
64,USD/GHS,7.3,+0.2250,+3.08%
65,USD/GMD,53.45,+0.6750,+1.27%
66,USD/GNF,8803.0,+133.00,+1.51%
67,USD/GTQ,7.668,+0.0140,+0.18%
68,USD/HNL,24.2919,+0.2540,+1.05%
69,USD/HRK,6.8421,+0.0035,+0.05%
70,USD/HTG,103.853,+0.893,+0.86%
71,USD/IDR,14365.0,-0.5,-0.00%
72,USD/IQD,1458.5,+0.98,+0.07%
73,USD/IRR,42000.0,0.00,0.00%
74,USD/ISK,128.44,+0.450,+0.35%
75,USD/JMD,152.58,+1.315,+0.87%
76,USD/KES,114.95,+0.150,+0.13%
77,USD/KHR,4041.0,+11.00,+0.27%
78,USD/KMF,445.17,+2.890,+0.65%
79,USD/KZT,474.39,+5.670,+1.21%
80,USD/LAK,11710.0,+45.00,+0.38%
81,USD/LBP,1505.7,+6.70,+0.45%
82,USD/LKR,290.0,+5.500,+1.90%
83,USD/LSL,14.6563,+0.0650,+0.45%
84,USD/LYD,4.631,+0.0111,+0.24%
85,USD/MAD,9.7215,+0.0293,+0.30%
86,USD/MDL,18.22,+0.0495,+0.27%
87,USD/MGA,3980.0,+66.00,+1.66%
88,USD/MKD,55.68,+0.245,+0.44%
89,USD/MMK,1769.5,+8.650,+0.49%
90,USD/MOP,8.068,+0.0055,+0.07%
91,USD/MRO,36.21,+0.180,+0.50%
92,USD/MUR,44.5,-0.550,-1.22%
93,USD/MVR,15.42,+0.0400,+0.26%
94,USD/MWK,808.88,+7.730,+0.96%
95,USD/MYR,4.208,+0.0075,+0.18%
96,USD/NAD,14.66,+0.0400,+0.27%
97,USD/NGN,415.22,+0.470,+0.11%
98,USD/NIO,35.58,+0.2100,+0.59%
99,USD/NPR,121.26,0.010,0.01%
